source,local_index,parent id,domain,Daya Ilokusi,Jenis Ujaran
alfina et al,126,13143,neutral,assertive,neutral
alfina et al,127,13144,neutral,assertive,neutral
alfina et al,128,13145,gender,assertive,neutral
alfina et al,129,13146,neutral,expressive,neutral
alfina et al,130,13147,neutral,assertive,neutral
alfina et al,131,13148,physical disability,assertive,neutral
alfina et al,132,13149,neutral,assertive,neutral
alfina et al,133,13150,neutral,expressive,neutral
alfina et al,134,13151,neutral,expressive,neutral
alfina et al,135,13152,neutral,assertive,neutral
alfina et al,136,13153,neutral,expressive,neutral
alfina et al,137,13154,neutral,expressive,neutral
alfina et al,138,13155,neutral,expressive,neutral
alfina et al,139,13156,neutral,expressive,neutral
alfina et al,140,13157,neutral,assertive,neutral
alfina et al,141,13158,neutral,directive,neutral
alfina et al,142,13159,religion,expressive,neutral
alfina et al,143,13160,neutral,directive,neutral
alfina et al,144,13161,neutral,expressive,neutral
alfina et al,145,13162,neutral,assertive,neutral
alfina et al,146,13163,neutral,expressive,neutral
alfina et al,147,13164,neutral,directive,neutral
alfina et al,148,13165,religion,expressive,neutral
alfina et al,149,13166,neutral,expressive,neutral
alfina et al,150,13167,religion,expressive,neutral
alfina et al,151,13168,religion,expressive,neutral
alfina et al,152,13169,ethnicity,expressive,neutral
alfina et al,153,13170,neutral,expressive,neutral
alfina et al,154,13171,ethnicity,expressive,neutral
alfina et al,155,13172,neutral,assertive,neutral
alfina et al,156,13173,ethnicity,expressive,neutral
alfina et al,157,13174,religion,expressive,neutral
alfina et al,158,13175,neutral,directive,neutral
alfina et al,159,13176,religion,expressive,neutral
alfina et al,160,13177,religion,expressive,hate speech
alfina et al,161,13178,neutral,expressive,neutral
alfina et al,162,13179,neutral,assertive,neutral
alfina et al,163,13180,neutral,expressive,neutral
alfina et al,164,13181,religion,expressive,hate speech
alfina et al,165,13182,religion,assertive,neutral
alfina et al,166,13183,religion,assertive,neutral
alfina et al,167,13184,ethnicity,assertive,neutral
alfina et al,168,13185,religion,assertive,neutral
alfina et al,169,13186,neutral,assertive,neutral
alfina et al,170,13187,neutral,expressive,neutral
alfina et al,171,13188,neutral,expressive,neutral
alfina et al,172,13189,neutral,directive,neutral
alfina et al,173,13190,neutral,expressive,neutral
alfina et al,174,13191,neutral,directive,neutral
alfina et al,175,13192,neutral,expressive,defamation
alfina et al,176,13193,neutral,expressive,neutral
alfina et al,177,13194,neutral,expressive,neutral
alfina et al,178,13195,neutral,expressive,neutral
alfina et al,179,13196,neutral,directive,neutral
alfina et al,180,13197,neutral,expressive,neutral
alfina et al,181,13198,neutral,expressive,neutral
alfina et al,182,13199,neutral,directive,neutral
alfina et al,183,13200,ethnicity,expressive,neutral
alfina et al,184,13201,neutral,expressive,neutral
alfina et al,185,13202,neutral,expressive,neutral
alfina et al,186,13203,neutral,expressive,neutral
alfina et al,187,13204,neutral,expressive,neutral
alfina et al,188,13205,neutral,expressive,neutral
alfina et al,189,13206,neutral,expressive,neutral
alfina et al,190,13207,religion,directive,neutral
alfina et al,191,13208,neutral,expressive,neutral
alfina et al,192,13209,neutral,expressive,neutral
alfina et al,193,13210,neutral,expressive,neutral
alfina et al,194,13211,neutral,directive,neutral
alfina et al,195,13212,religion,directive,neutral
alfina et al,196,13213,religion,expressive,neutral
alfina et al,197,13211,neutral,directive,neutral
alfina et al,198,13215,neutral,expressive,neutral
alfina et al,199,13161,neutral,expressive,neutral
alfina et al,200,13162,neutral,assertive,neutral
alfina et al,201,13218,neutral,directive,neutral
alfina et al,202,13219,neutral,expressive,neutral
alfina et al,203,13220,neutral,assertive,neutral
alfina et al,204,13221,neutral,expressive,neutral
alfina et al,205,13222,neutral,expressive,neutral
alfina et al,206,13223,neutral,expressive,neutral
alfina et al,207,13224,neutral,assertive,neutral
alfina et al,208,13225,neutral,expressive,neutral
alfina et al,209,13226,religion,directive,neutral
alfina et al,210,13227,neutral,directive,neutral
alfina et al,211,13218,neutral,directive,neutral
alfina et al,212,13219,neutral,expressive,neutral
alfina et al,213,13222,neutral,expressive,neutral
alfina et al,214,13231,neutral,expressive,neutral
alfina et al,215,13232,neutral,expressive,neutral
alfina et al,216,13233,religion,assertive,neutral
alfina et al,217,13234,neutral,expressive,neutral
alfina et al,218,13235,neutral,assertive,neutral
alfina et al,219,13236,religion,assertive,neutral
alfina et al,220,13231,neutral,expressive,neutral
alfina et al,221,13238,neutral,directive,neutral
alfina et al,222,13239,neutral,assertive,neutral
alfina et al,223,13240,neutral,directive,neutral
alfina et al,224,13241,neutral,assertive,neutral
alfina et al,225,13242,religion,expressive,neutral
alfina et al,226,13243,neutral,assertive,neutral
alfina et al,227,13244,neutral,assertive,neutral
alfina et al,228,13245,neutral,assertive,neutral
alfina et al,229,13246,neutral,expressive,neutral
alfina et al,230,13247,neutral,assertive,neutral
alfina et al,231,13248,neutral,assertive,neutral
alfina et al,232,13249,religion,expressive,neutral
alfina et al,233,13250,neutral,assertive,neutral
alfina et al,234,13251,physical disability,commissive,neutral
alfina et al,235,13252,neutral,assertive,neutral
alfina et al,236,13253,neutral,assertive,neutral
alfina et al,237,13254,neutral,assertive,neutral
alfina et al,238,13255,neutral,assertive,neutral
alfina et al,239,13256,neutral,assertive,neutral
alfina et al,240,13225,neutral,expressive,neutral
alfina et al,241,13258,religion,commissive,neutral
alfina et al,242,13259,religion,assertive,neutral
alfina et al,243,13260,neutral,expressive,neutral
alfina et al,244,13261,neutral,assertive,neutral
alfina et al,245,13262,neutral,assertive,neutral
alfina et al,246,13263,religion,expressive,neutral
alfina et al,247,13264,neutral,assertive,neutral
alfina et al,248,13265,neutral,expressive,neutral
alfina et al,249,13266,neutral,assertive,neutral
alfina et al,250,13267,neutral,expressive,neutral
alfina et al,251,13268,neutral,assertive,neutral
alfina et al,252,13269,neutral,expressive,neutral
alfina et al,253,13270,neutral,assertive,neutral
alfina et al,254,13271,neutral,expressive,neutral
alfina et al,255,13272,neutral,assertive,neutral
alfina et al,256,13273,neutral,assertive,neutral
alfina et al,257,13274,neutral,expressive,neutral
alfina et al,258,13275,neutral,expressive,neutral
alfina et al,259,13276,neutral,directive,neutral
alfina et al,260,13277,neutral,assertive,neutral
alfina et al,261,13278,neutral,assertive,neutral
alfina et al,262,13279,neutral,assertive,neutral
alfina et al,263,13280,neutral,expressive,neutral
alfina et al,264,13281,religion,expressive,neutral
alfina et al,265,13282,neutral,assertive,neutral
alfina et al,266,13283,neutral,directive,neutral
alfina et al,267,13284,neutral,assertive,neutral
alfina et al,268,13285,religion,assertive,neutral
alfina et al,269,13286,neutral,assertive,neutral
alfina et al,270,13287,religion,assertive,neutral
alfina et al,271,13221,neutral,expressive,neutral
alfina et al,272,13289,neutral,expressive,neutral
alfina et al,273,13290,neutral,directive,neutral
alfina et al,274,13291,neutral,assertive,neutral
alfina et al,275,13292,religion,directive,neutral
alfina et al,276,13293,neutral,directive,neutral
alfina et al,277,13294,religion,directive,neutral
alfina et al,278,13295,religion,expressive,neutral
alfina et al,279,13296,neutral,assertive,neutral
alfina et al,280,13297,religion,expressive,neutral
alfina et al,281,13298,neutral,expressive,neutral
alfina et al,282,13299,neutral,directive,neutral
alfina et al,283,13300,religion,assertive,neutral
alfina et al,284,13301,neutral,directive,neutral
alfina et al,285,13302,neutral,commissive,neutral
alfina et al,286,13303,neutral,assertive,neutral
alfina et al,287,13304,religion,expressive,neutral
alfina et al,288,13305,neutral,expressive,neutral
alfina et al,289,13306,neutral,assertive,neutral
alfina et al,290,13307,religion,assertive,neutral
alfina et al,291,13308,neutral,expressive,neutral
alfina et al,292,13309,neutral,assertive,neutral
alfina et al,293,13310,neutral,expressive,neutral
alfina et al,294,13311,neutral,directive,neutral
alfina et al,295,13312,neutral,assertive,neutral
alfina et al,296,13313,neutral,assertive,neutral
alfina et al,297,13314,neutral,assertive,neutral
alfina et al,298,13315,neutral,directive,neutral
alfina et al,299,13316,neutral,directive,neutral
alfina et al,300,13317,neutral,assertive,neutral
alfina et al,301,13318,neutral,expressive,neutral
alfina et al,302,13319,neutral,directive,neutral
alfina et al,303,13320,neutral,assertive,neutral
alfina et al,304,13321,neutral,assertive,neutral
alfina et al,305,13322,neutral,assertive,neutral
alfina et al,306,13323,religion,directive,neutral
alfina et al,307,13324,neutral,assertive,neutral
alfina et al,308,13325,neutral,assertive,neutral
alfina et al,309,13326,neutral,assertive,neutral
alfina et al,310,13327,neutral,expressive,neutral
alfina et al,311,13328,neutral,assertive,neutral
alfina et al,312,13329,religion,assertive,neutral
alfina et al,313,13330,neutral,directive,neutral
alfina et al,314,13331,neutral,assertive,neutral
alfina et al,315,13332,neutral,expressive,neutral
alfina et al,316,13333,neutral,expressive,neutral
alfina et al,317,13334,neutral,directive,neutral
alfina et al,318,13335,neutral,expressive,neutral
alfina et al,319,13336,neutral,expressive,neutral
alfina et al,320,13337,neutral,directive,neutral
alfina et al,321,13338,neutral,expressive,neutral
alfina et al,322,13339,neutral,expressive,neutral
alfina et al,323,13340,neutral,expressive,neutral
alfina et al,324,13341,neutral,expressive,neutral
alfina et al,325,13342,neutral,expressive,neutral
alfina et al,326,13343,neutral,expressive,neutral
alfina et al,327,13344,religion,expressive,neutral
alfina et al,328,13345,neutral,expressive,neutral
alfina et al,329,13346,neutral,assertive,neutral
alfina et al,330,13347,neutral,assertive,neutral
alfina et al,331,13348,neutral,assertive,neutral
alfina et al,332,13349,religion,expressive,neutral
alfina et al,333,13350,neutral,expressive,neutral
alfina et al,334,13351,neutral,expressive,neutral
alfina et al,335,13352,neutral,expressive,neutral
alfina et al,336,13353,religion,expressive,neutral
alfina et al,337,13354,neutral,assertive,neutral
alfina et al,338,13355,neutral,expressive,neutral
alfina et al,339,13356,neutral,assertive,neutral
alfina et al,340,13357,neutral,assertive,neutral
alfina et al,341,13358,religion,expressive,neutral
alfina et al,342,13359,neutral,expressive,neutral
alfina et al,343,13360,religion,assertive,neutral
alfina et al,344,13361,neutral,expressive,neutral
alfina et al,345,13362,neutral,expressive,neutral
alfina et al,346,13363,neutral,assertive,neutral
alfina et al,347,13364,religion,assertive,neutral
alfina et al,348,13365,neutral,expressive,neutral
alfina et al,349,13366,neutral,assertive,neutral
alfina et al,350,13367,neutral,assertive,neutral
alfina et al,351,13368,religion,expressive,neutral
alfina et al,352,13369,religion,assertive,neutral
alfina et al,353,13370,religion,expressive,neutral
alfina et al,354,13371,neutral,assertive,neutral
alfina et al,355,13372,neutral,expressive,neutral
alfina et al,356,13373,neutral,expressive,neutral
alfina et al,357,14657,neutral,expressive,neutral
alfina et al,358,13375,neutral,expressive,neutral
alfina et al,359,13376,neutral,assertive,neutral
alfina et al,360,13377,religion,expressive,neutral
alfina et al,361,13378,religion,directive,neutral
alfina et al,362,13379,neutral,directive,neutral
alfina et al,363,13380,neutral,expressive,neutral
alfina et al,364,13381,neutral,directive,neutral
alfina et al,365,13382,neutral,expressive,neutral
alfina et al,366,13383,neutral,assertive,neutral
alfina et al,367,13384,neutral,expressive,neutral
alfina et al,368,13385,neutral,expressive,neutral
alfina et al,369,13386,religion,directive,neutral
alfina et al,370,13387,neutral,expressive,neutral
alfina et al,371,13388,neutral,assertive,neutral
alfina et al,372,13389,neutral,expressive,neutral
alfina et al,373,13390,neutral,expressive,neutral
alfina et al,374,13391,neutral,expressive,neutral
alfina et al,375,13392,neutral,assertive,neutral
alfina et al,376,13393,neutral,directive,neutral
alfina et al,377,13394,neutral,directive,neutral
alfina et al,378,13395,neutral,expressive,neutral
alfina et al,379,13396,neutral,assertive,neutral
alfina et al,380,13397,neutral,expressive,neutral
alfina et al,381,13398,neutral,expressive,neutral
alfina et al,382,13399,neutral,expressive,neutral
alfina et al,383,13400,neutral,directive,neutral
alfina et al,384,13401,religion,expressive,neutral
alfina et al,385,13402,neutral,expressive,neutral
alfina et al,386,13403,neutral,expressive,neutral
alfina et al,387,13404,neutral,expressive,neutral
alfina et al,388,13405,neutral,expressive,neutral
alfina et al,389,13406,neutral,expressive,neutral
alfina et al,390,13407,neutral,expressive,neutral
alfina et al,391,13408,neutral,expressive,neutral
alfina et al,392,13409,neutral,expressive,neutral
alfina et al,393,13410,neutral,expressive,neutral
alfina et al,394,13411,neutral,expressive,neutral
alfina et al,395,13412,neutral,assertive,neutral
alfina et al,396,13413,neutral,expressive,neutral
alfina et al,397,13414,neutral,assertive,neutral
alfina et al,398,13415,neutral,expressive,neutral
alfina et al,399,13416,neutral,expressive,neutral
alfina et al,400,13417,neutral,expressive,neutral
alfina et al,401,13418,religion,expressive,neutral
alfina et al,402,13419,neutral,expressive,neutral
alfina et al,403,13420,religion,expressive,neutral
alfina et al,404,13421,neutral,expressive,neutral
alfina et al,405,13422,neutral,directive,neutral
alfina et al,406,13423,neutral,expressive,neutral
alfina et al,407,13424,neutral,directive,neutral
alfina et al,408,13425,neutral,expressive,neutral
alfina et al,409,13426,religion,expressive,neutral
alfina et al,410,13427,neutral,expressive,neutral
alfina et al,411,13428,neutral,expressive,neutral
alfina et al,412,13429,neutral,expressive,neutral
alfina et al,413,13430,neutral,expressive,neutral
alfina et al,414,13431,religion,assertive,neutral
alfina et al,415,13432,neutral,expressive,neutral
alfina et al,416,13433,neutral,assertive,neutral
alfina et al,417,13434,neutral,assertive,neutral
alfina et al,418,13435,neutral,assertive,neutral
alfina et al,419,13436,neutral,directive,neutral
alfina et al,420,13437,neutral,assertive,neutral
alfina et al,421,13438,neutral,assertive,neutral
alfina et al,422,13439,neutral,assertive,neutral
alfina et al,423,13440,neutral,assertive,neutral
alfina et al,424,13441,neutral,assertive,neutral
alfina et al,425,13442,neutral,assertive,neutral
alfina et al,426,13443,neutral,assertive,neutral
alfina et al,427,13444,neutral,directive,neutral
alfina et al,428,13445,neutral,assertive,neutral
alfina et al,429,13446,neutral,expressive,neutral
alfina et al,430,13447,neutral,expressive,neutral
alfina et al,431,13448,neutral,directive,neutral
alfina et al,432,13449,neutral,expressive,neutral
alfina et al,433,13450,neutral,assertive,neutral
alfina et al,434,13451,religion,assertive,neutral
alfina et al,435,13452,religion,expressive,neutral
alfina et al,436,13453,religion,directive,neutral
alfina et al,437,13454,neutral,assertive,neutral
alfina et al,438,13455,neutral,assertive,neutral
alfina et al,439,13456,neutral,expressive,neutral
alfina et al,440,13457,neutral,directive,neutral
alfina et al,441,13458,neutral,expressive,neutral
alfina et al,442,13459,neutral,expressive,neutral
alfina et al,443,13460,neutral,assertive,neutral
alfina et al,444,13461,neutral,expressive,neutral
alfina et al,445,13462,neutral,expressive,neutral
alfina et al,446,13463,neutral,expressive,neutral
alfina et al,447,13464,neutral,expressive,neutral
alfina et al,448,13465,neutral,expressive,neutral
alfina et al,449,13466,religion,expressive,neutral
alfina et al,450,13467,religion,expressive,neutral
alfina et al,451,13468,neutral,directive,neutral
alfina et al,452,13469,religion,expressive,neutral
alfina et al,453,13470,neutral,assertive,neutral
alfina et al,454,193,religion,expressive,hate speech
alfina et al,455,13472,neutral,expressive,defamation
alfina et al,456,13473,religion,expressive,hate speech
alfina et al,457,13474,religion,expressive,hate speech
alfina et al,458,13475,religion,assertive,neutral
alfina et al,459,2503,neutral,expressive,defamation
alfina et al,460,13477,ethnicity,expressive,hate speech
alfina et al,461,13478,ethnicity,expressive,hate speech
alfina et al,462,13479,neutral,expressive,defamation
alfina et al,463,13480,religion,expressive,defamation
alfina et al,464,58,religion,expressive,hate speech
alfina et al,465,1745,neutral,directive,neutral
alfina et al,466,6001,neutral,expressive,defamation
alfina et al,467,7391,ethnicity,expressive,neutral
alfina et al,468,2321,neutral,expressive,defamation
alfina et al,469,13486,neutral,directive,defamation
alfina et al,470,13487,religion,assertive,neutral
alfina et al,471,13488,ethnicity,assertive,neutral
alfina et al,472,13489,ethnicity,expressive,hate speech
alfina et al,473,13490,neutral,directive,defamation
alfina et al,474,3769,neutral,directive,defamation
alfina et al,475,3770,neutral,directive,defamation
alfina et al,476,9230,neutral,assertive,neutral
alfina et al,477,12885,religion,assertive,neutral
alfina et al,478,13495,religion,assertive,neutral
alfina et al,479,2742,neutral,assertive,neutral
alfina et al,480,2892,neutral,assertive,neutral
alfina et al,481,13498,religion,directive,hate speech
alfina et al,482,13499,religion,expressive,hate speech
alfina et al,483,13500,religion,directive,hate speech
alfina et al,484,13501,religion,expressive,hate speech
alfina et al,485,6059,neutral,expressive,defamation
alfina et al,486,13503,religion,directive,hate speech
alfina et al,487,1447,religion,expressive,hate speech
alfina et al,488,13505,religion,expressive,hate speech
alfina et al,489,13506,religion,expressive,hate speech
alfina et al,490,13507,religion,expressive,neutral
alfina et al,491,8175,religion,expressive,hate speech
alfina et al,492,13509,ethnicity,expressive,hate speech
alfina et al,493,2825,neutral,expressive,defamation
alfina et al,494,13511,religion,expressive,hate speech
alfina et al,495,13512,religion,expressive,hate speech
alfina et al,496,13513,religion,directive,hate speech
alfina et al,497,13514,religion,expressive,hate speech
alfina et al,498,13515,neutral,expressive,neutral
alfina et al,499,1643,neutral,assertive,neutral
alfina et al,500,13517,religion,directive,hate speech
alfina et al,501,13518,religion,expressive,hate speech
alfina et al,502,13519,religion,expressive,hate speech
alfina et al,503,13520,neutral,expressive,neutral
alfina et al,504,13521,religion,directive,hate speech
alfina et al,505,13522,religion,expressive,hate speech
alfina et al,506,2230,neutral,expressive,defamation
alfina et al,507,13524,neutral,expressive,defamation
alfina et al,508,13525,neutral,assertive,neutral
alfina et al,509,3684,neutral,expressive,defamation
alfina et al,510,1896,neutral,assertive,neutral
alfina et al,511,13528,religion,expressive,neutral
alfina et al,512,13529,neutral,assertive,neutral
alfina et al,513,13530,neutral,expressive,neutral
alfina et al,514,13531,neutral,expressive,defamation
alfina et al,515,13532,neutral,expressive,defamation
alfina et al,516,13533,neutral,expressive,defamation
alfina et al,517,9500,neutral,assertive,neutral
alfina et al,518,13535,religion,expressive,hate speech
alfina et al,519,1446,religion,expressive,hate speech
alfina et al,520,1432,neutral,directive,threat
alfina et al,521,13538,neutral,expressive,neutral
alfina et al,522,2820,neutral,expressive,defamation
alfina et al,523,13540,ethnicity,expressive,hate speech
alfina et al,524,13541,gender,expressive,neutral
alfina et al,525,6331,neutral,expressive,defamation
alfina et al,526,13543,neutral,commissive,threat
alfina et al,527,13544,neutral,expressive,neutral
alfina et al,528,7591,neutral,expressive,neutral
alfina et al,529,1762,neutral,expressive,defamation
alfina et al,530,13547,religion,expressive,hate speech
alfina et al,531,13548,religion,expressive,hate speech
alfina et al,532,3821,ethnicity,assertive,neutral
alfina et al,533,13550,neutral,directive,defamation
alfina et al,534,6787,religion,assertive,neutral
alfina et al,535,2696,neutral,expressive,defamation
alfina et al,536,1680,neutral,expressive,defamation
alfina et al,537,13554,ethnicity,expressive,hate speech
alfina et al,538,6877,ethnicity,expressive,neutral
alfina et al,539,7844,neutral,expressive,neutral
alfina et al,540,2369,neutral,assertive,neutral
alfina et al,541,13558,ethnicity,directive,hate speech
alfina et al,542,2492,neutral,expressive,defamation
alfina et al,543,2989,religion,expressive,hate speech
alfina et al,544,8263,neutral,expressive,defamation
alfina et al,545,13562,religion,expressive,hate speech
alfina et al,546,13563,ethnicity,expressive,hate speech
alfina et al,547,13564,religion,directive,hate speech
alfina et al,548,7794,neutral,expressive,defamation
alfina et al,549,13566,religion,directive,hate speech
alfina et al,550,13567,religion,assertive,neutral
alfina et al,551,13568,religion,expressive,hate speech
alfina et al,552,13569,ethnicity,expressive,hate speech
alfina et al,553,1615,neutral,assertive,neutral
alfina et al,554,13571,ethnicity,expressive,hate speech
alfina et al,555,13572,religion,expressive,hate speech
alfina et al,556,13573,religion,expressive,hate speech
alfina et al,557,13574,neutral,expressive,defamation
alfina et al,558,2011,neutral,expressive,defamation
alfina et al,559,13576,religion,expressive,hate speech
alfina et al,560,2902,neutral,expressive,defamation
alfina et al,561,2528,neutral,assertive,neutral
alfina et al,562,13579,religion,expressive,defamation
alfina et al,563,13580,neutral,expressive,defamation
alfina et al,564,13581,religion,expressive,hate speech
alfina et al,565,13582,neutral,expressive,defamation
alfina et al,566,8027,neutral,expressive,neutral
alfina et al,567,13584,religion,expressive,hate speech
alfina et al,568,7726,neutral,expressive,neutral
alfina et al,569,13586,neutral,expressive,defamation
alfina et al,570,6343,neutral,expressive,neutral
alfina et al,571,13588,neutral,expressive,defamation
alfina et al,572,13589,religion,expressive,neutral
alfina et al,573,13590,religion,expressive,neutral
alfina et al,574,13591,religion,expressive,hate speech
alfina et al,575,13592,religion,expressive,hate speech
alfina et al,576,13593,religion,directive,hate speech
alfina et al,577,13594,religion,expressive,neutral
alfina et al,578,13595,religion,expressive,hate speech
alfina et al,579,13596,neutral,expressive,defamation
alfina et al,580,13597,religion,expressive,hate speech
alfina et al,581,13598,ethnicity,expressive,hate speech
alfina et al,582,13599,ethnicity,expressive,hate speech
alfina et al,583,13600,religion,directive,hate speech
alfina et al,584,7678,neutral,expressive,defamation
alfina et al,585,13602,neutral,expressive,defamation
alfina et al,586,13603,religion,expressive,hate speech
alfina et al,587,3057,neutral,expressive,defamation
alfina et al,588,13605,neutral,expressive,defamation
alfina et al,589,13606,neutral,expressive,defamation
alfina et al,590,3020,neutral,expressive,defamation
alfina et al,591,6335,neutral,expressive,defamation
alfina et al,592,13609,religion,expressive,hate speech
alfina et al,593,2547,religion,expressive,hate speech
alfina et al,594,13611,religion,directive,hate speech
alfina et al,595,13612,neutral,expressive,neutral
alfina et al,596,3008,religion,expressive,hate speech
alfina et al,597,13614,religion,expressive,hate speech
alfina et al,598,13615,religion,directive,hate speech
alfina et al,599,13616,religion,expressive,hate speech
alfina et al,600,13617,religion,expressive,hate speech
alfina et al,601,13618,religion,directive,hate speech
alfina et al,602,13619,religion,expressive,hate speech
alfina et al,603,13620,neutral,expressive,defamation
alfina et al,604,13621,neutral,expressive,defamation
alfina et al,605,13622,ethnicity,expressive,hate speech
alfina et al,606,13623,neutral,expressive,defamation
alfina et al,607,13624,religion,expressive,hate speech
alfina et al,608,13625,religion,expressive,hate speech
alfina et al,609,13626,religion,expressive,hate speech
alfina et al,610,13627,religion,expressive,hate speech
